,Excess Mean
EQR,0.0569506517202963
EQX,0.01952329858818376
ES,0.06188360910775437
ESS,0.07454133714393149
ETN,0.13365926013965346
ETR,0.05564973455817127
EVRG,0.07573550921002853
EXC,0.08794259401789604
EXPD,0.111554931786717
EXR,0.1608949987226477
F,0.0154185741440333
FAST,0.12034736113689225
FCX,0.01689849673442814
FDS,0.14995590559664362
FE,0.045409212781865146
FFIV,0.06102917591967124
FMC,0.004612060896681583
FRT,0.02745684673610437
FSLR,0.10095897689248283
FTNT,0.26479466285480663
GE,-0.016865247935464116
GEN,0.08503377049671637
GILD,0.028062763588378007
GL,0.08516849834569079
GLW,0.07113452592304619
GOOGL,0.1524613972534279
GS,0.08773024844935487
HD,0.15840552582979636
HIG,0.09468219755242328
HLT,0.13637394248103116
HON,0.10067470302741324
HPE,0.07052340418420273
HPQ,0.10836508196851566
HRL,0.04751368542787381
HSIC,0.04413710725044441
HWM,0.09895597739168696
HYG,0.024488102999164638
IBM,0.024831437735761682
IEF,0.006239057768052332
IEI,0.0033773464491803048
IEX,0.1137828132772941
IGSB,0.00830726375151472
ILMN,0.014212092950418764
INTC,0.08608158784583801
INTU,0.2108700663963153
IR,0.12138011844552678
ISRG,0.1991335143906863
IT,0.17788129794255225
ITOT,0.10146768412088908
JBHT,0.09634610253626884
JCI,0.05672533065072256
JKHY,0.10677858797569909
JNJ,0.07262254298375481
JPM,0.12566732105945908
KEYS,0.1640838693887503
KHC,-0.04141467543618848
KIM,0.04567752446084884
KLAC,0.257026684834381
KMB,0.04359551191466844
KMI,-0.02968411204601992
KMX,0.04024102443719137
KO,0.059891708669405054
KR,0.09393745794509645
L,0.034746790464974114
LDOS,0.1290834385850661
LEN,0.1284824061050946
LIN,0.1260916567769168
LKQ,0.034447624260071905
LLY,0.25724527904020567
LNT,0.09332331091029822
LOW,0.1593709567665242
LQD,0.020174779062511673
LRCX,0.2655710214571248
LUMN,-0.2196441120263494
LW,0.12744090706236202
LYB,0.05683283793226685
MA,0.16057564108115494
MAA,0.10480516152192366
MAR,0.15399846246383564
MCD,0.1299525843918524
MCHP,0.15209601527486313
MDT,0.050149931821880454
META,0.17798753725324348
MKC,0.07847042198986537
MKTX,0.14926730507507754
MNST,0.15563464501102564
MO,0.05766928740336697
MRK,0.105606071251103
MS,0.12581756446795572
MSCI,0.25890936956564714
MSFT,0.24003397344216573
MTB,0.03525764913869359
MTCH,0.059199136131008565
NDAQ,0.1570981514109464
NEE,0.12275797089746507
NEM,0.06727277051730982
NFLX,0.21535002829351765
NI,0.09610140841487488
NKE,0.10421220062985888
NOC,0.14985983614555365
NOW,0.24545851319258524
NRG,0.07306170747732696
NTRS,0.048661238935200544
NUE,0.13665499459465108
NVDA,0.48044625526430706
NVR,0.18418800301797167
O,0.08231020613736688
ODFL,0.23954471640720235
OKE,0.07996759192181355
ORCL,0.10912581402184346
OTIS,0.0643732744866231
PEP,0.09255689000990232
PFE,0.027540805852300603
PFG,0.07468690566320782
PG,0.07969650248119756
PGR,0.20046164200816366
PH,0.13778549899887577
PLD,0.14862692559789203
PM,0.05081291197205269
PNC,0.09079232902830128
PNR,0.04344433752498672
PNW,0.062010265509431305
PPG,0.05314339281718735
PPL,0.03593838612432549
PRU,0.045067566561995655
PSA,0.1007802643167493
PTC,0.15300600014917587
PWR,0.18607852414440249
QCOM,0.08825496596606236
QRVO,0.03796970718493974
RCL,0.10536505500714143
REG,0.0654826147519956
REGN,0.10740352621524736
RF,0.08940799773618517
RHI,0.0859971448300284
RMD,0.13674357695261558
ROK,0.1095914241432525
ROL,0.16564032075218657
ROP,0.13443495607916084
ROST,0.1324656992212753
RSG,0.17257545584189263
RTX,0.03231561569803083
SBAC,0.10058066861981754
SBUX,0.10063595086808663
SEDG,0.14209223828480566
SEE,0.013873500016890342
SJM,0.039713631900077415
SLB,-0.03566497621206749
SNA,0.11043140344503653
SNPS,0.24587523485146648
SO,0.09007081056430936
SPGI,0.1754542082108292
STT,0.022371900308167644
